date,growth
2016-09-07,123
2016-09-08,123
2016-09-09,123
2016-09-10,128
2016-09-11,110
2016-09-12,110
2016-09-13,110
2016-09-14,110
2016-09-15,110
2016-09-16,110
2016-09-17,110
2016-09-18,110
2016-09-19,110
2016-09-20,115
2016-09-21,93
2016-09-22,93
2016-09-23,103
2016-09-24,109
2016-09-25,109
2016-09-26,109
2016-09-27,111
2016-09-28,113
2016-09-29,133
2016-09-30,133
2016-10-01,141
2016-10-02,141
2016-10-03,69
2016-10-04,93
2016-10-05,98
2016-10-06,106
2016-10-07,106
2016-10-08,106
2016-10-09,106
2016-10-10,106
2016-10-11,107
2016-10-12,142
2016-10-13,143
2016-10-14,99
2016-10-15,99
2016-10-16,99
2016-10-17,99
2016-10-18,99
2016-10-19,99
2016-10-20,99
2016-10-21,99
2016-10-22,99
2016-10-23,99
2016-10-24,108
2016-10-25,104
2016-10-26,104
2016-10-27,104
2016-10-28,104
2016-10-29,104
2016-10-30,104
2016-10-31,104
2016-11-01,104
2016-11-02,104
2016-11-03,104
2016-11-04,104
2016-11-05,104
2016-11-06,104
2016-11-06,104
2016-11-07,104
2016-11-08,104
2016-11-09,104
2016-11-10,104
2016-11-11,104
2016-11-13,120
2016-11-14,106
2016-11-15,106
2016-11-16,106
2016-11-17,105
2016-11-18,105
2016-11-19,105
2016-11-20,105
2016-11-21,105
2016-11-22,105
2016-11-23,105
2016-11-24,110
2016-11-25,114
2016-11-26,114
2016-11-27,114
2016-11-28,114
2016-11-29,114
2016-11-30,114
2016-12-01,114
2016-12-02,114
2016-12-03,114
2016-12-04,114
2016-12-05,114
2016-12-06,114
2016-12-07,114
2016-12-08,114
2016-12-09,114
2016-12-10,114
2016-12-11,114
2016-12-12,114
2016-12-13,114
2016-12-14,114
2016-12-15,114
2016-12-16,114
2016-12-17,114
2016-12-18,114
2016-12-19,114
2016-12-20,114
2016-12-21,114
2016-12-22,114
2016-12-23,114
2016-12-24,114
2016-12-25,114
2016-12-26,114
2016-12-27,114
2016-12-28,114
2016-12-29,114
2016-12-30,132
2016-12-31,91
2017-01-01,83
2017-01-02,141
2017-01-03,45
2017-01-04,121
2017-01-05,103
2017-01-06,103
2017-01-07,104
2017-01-08,178
2017-01-09,178
2017-01-10,90
2017-01-11,176
2017-01-12,125
2017-01-13,41
2017-01-14,112
2017-01-15,112
2017-01-16,112
2017-01-17,115
2017-01-18,115
2017-01-19,115
2017-01-20,115
2017-01-21,115
2017-01-22,116
2017-01-23,162
2017-01-24,162
2017-01-25,184
2017-01-26,103
2017-01-27,194
2017-01-28,146
2017-01-29,146
2017-01-30,113
2017-01-31,113
2017-02-01,115
2017-02-02,105
2017-02-03,105
2017-02-04,106
2017-02-05,126
2017-02-06,126
2017-02-07,126
2017-02-08,126
2017-02-09,92
2017-02-10,109
2017-02-11,109
2017-02-12,123
2017-02-13,123
2017-02-14,157
2017-02-15,157
2017-02-16,158
2017-02-17,123
2017-02-18,123
2017-02-19,125
2017-02-20,99
2017-02-21,100
2017-02-22,166
2017-02-23,99
2017-02-24,105
2017-02-25,105
2017-02-26,105
2017-02-27,108
2017-02-28,90
2017-03-01,130
2017-03-02,120
2017-03-03,120
2017-03-04,153
2017-03-05,154
2017-03-06,222
2017-03-07,223
2017-03-08,79
2017-03-09,123
2017-03-10,107
2017-03-11,89
2017-03-11,152
2017-03-12,83
2017-03-13,83
2017-03-14,85
2017-03-15,176
2017-03-16,40
2017-03-17,165
2017-03-18,18
2017-03-19,59
2017-03-20,160
2017-03-21,160
2017-03-22,113
2017-03-23,113
2017-03-24,113
2017-03-25,113
2017-03-26,116
2017-03-27,158
2017-03-28,79
2017-03-29,112
2017-03-30,112
2017-03-31,69
2017-04-01,70
2017-04-02,86
2017-04-03,86
2017-04-04,125
2017-04-05,125
2017-04-06,125
2017-04-07,126
2017-04-08,89
2017-04-09,142
2017-04-10,143
2017-04-11,91
2017-04-12,116
2017-04-13,116
2017-04-14,117
2017-04-15,81
2017-04-16,81
2017-04-17,123
2017-04-18,91
2017-04-19,194
2017-04-20,56
2017-04-21,103
2017-04-22,103
2017-04-23,103
2017-04-24,103
2017-04-25,103
2017-04-26,108
2017-04-27,81
2017-04-28,81
2017-04-29,81
2017-04-30,82
2017-05-01,104
2017-05-02,104
2017-05-03,106
2017-05-04,153
2017-05-05,122
2017-05-06,123
2017-05-07,100
2017-05-08,115
2017-05-09,116
2017-05-10,79
2017-05-11,130
2017-05-12,84
2017-05-13,85
2017-05-14,117
2017-05-15,117
2017-05-16,117
2017-05-17,118
2017-05-18,87
2017-05-19,73
2017-05-20,145
2017-05-21,103
2017-05-22,103
2017-05-23,71
2017-05-24,137
2017-05-25,128
2017-05-26,106
2017-05-27,106
2017-05-28,107
2017-05-29,89
2017-05-30,98
2017-05-31,105
2017-06-01,129
2017-06-02,347
2017-06-03,57
2017-06-04,84
2017-06-05,115
2017-06-06,132
2017-06-07,132
2017-06-08,104
2017-06-09,70
2017-06-10,70
2017-06-11,70
2017-06-12,135
2017-06-13,104
2017-06-14,90
2017-06-15,99
2017-06-16,75
2017-06-17,76
2017-06-18,81
2017-06-19,82
2017-06-20,128
2017-06-21,128
2017-06-22,128
2017-06-23,154
2017-06-24,45
2017-06-25,44
2017-06-26,114
2017-06-27,115
2017-06-28,183
2017-06-29,88
2017-06-30,89
2017-07-01,117
2017-07-02,117
2017-07-03,118
2017-07-04,198
2017-07-05,298
2017-07-06,138
2017-07-07,151
2017-07-08,152
2017-07-09,210
2017-07-10,201
2017-07-11,201
2017-07-12,221
2017-07-13,221
2017-07-14,221
2017-07-15,221
2017-07-16,221
2017-07-17,221
2017-07-18,221
2017-07-19,228
2017-07-20,144
2017-07-21,440
2017-07-22,256
2017-07-23,210
2017-07-24,210
2017-07-25,210
2017-07-26,210
2017-07-27,212
2017-07-28,191
2017-07-29,191
2017-07-30,157
2017-07-31,157
2017-08-01,157
2017-08-02,157
2017-08-03,157
2017-08-04,157
2017-08-05,131
2017-08-06,172
2017-08-07,172
2017-08-08,174
2017-08-09,267
2017-08-10,69
2017-08-11,70
2017-08-12,130
2017-08-13,210
2017-08-14,21
2017-08-15,127
2017-08-16,128
2017-08-17,132
2017-08-18,105
2017-08-19,105
2017-08-20,107
2017-08-21,122
2017-08-22,122
2017-08-23,122
2017-08-24,122
2017-08-25,122
2017-08-26,122
2017-08-27,122
2017-08-28,122
2017-08-29,122
2017-08-30,122
2017-08-31,122
2017-09-01,122
2017-09-02,122
2017-09-03,122
2017-09-04,122
2017-09-05,122
2017-09-06,122
2017-09-07,122
2017-09-08,122
2017-09-09,122
2017-09-10,122
2017-09-11,122
2017-09-12,122
2017-09-13,122
2017-09-14,122
2017-09-15,122
2017-09-16,122
2017-09-17,122
2017-09-18,149
2017-09-19,7
2017-09-20,7
2017-09-21,7
2017-09-22,7
2017-09-23,8
2017-09-24,118
2017-09-25,115
2017-09-26,113
2017-09-27,114
2017-09-28,104
2017-09-29,104
2017-09-30,105
2017-10-01,113
2017-10-02,113
2017-10-03,107
2017-10-04,138
2017-10-05,138
2017-10-06,138
2017-10-07,138
2017-10-08,138
2017-10-09,138
2017-10-10,138
2017-10-11,138
2017-10-12,93
2017-10-13,93
2017-10-14,124
2017-10-15,249
2017-10-16,249
